ciphertext,label
625b5154401356f18f47575d5d5b581d1251585e5458415248534111415a4246565c5e56435b5d5812585e40465c531342535d5046f78056f780401d11665b54124743575242474154125a42125144405a545613445c57544013455a56115d5f55125c505913454056541c,XOR
EMVMMLBWAMKCZMBPMXMZQUMBMZQUUMLQIBMTGBPMBZMIACZMQAJCZQMLCVLMZBPMWTLWISBZMM,Caesar
ZWIVCVDVPEKVDCVIZKRIZYSFPLETRBLCCREZCDZKZIEVKNFIBJVTLIZKPZEMFCMVJDREPCRPVIJFWGIFKVTKZFE,Caesar
TWFjaGluZSBsZWFybmluZyBtb2RlbHMgcmVxdWlyZSBhIGxvdCBvZiBkYXRhLiDFnmlmcmVsZW1lIHnDtm50ZW1sZXJpIHRhcmloIGJveXVuY2Ega3VsbGFuxLFsbcSxxZ90xLFyLg==,Base64
NPBABRVAIPUCQXLIYDSYVPAQNNJTELECASSPCWXRCEQSAACBMSINQEYIYBIYLTOIACPQWVNEMPYIRMRPEOMQBNDBVNTPLFLMLKLVNPA,Vigenere
QXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2UgaXMgaW50ZWxsaWdlbmNlIGRlbW9uc3RyYXRlZCBieSBtYWNoaW5lcy4gxZ5pZnJlbGVtZSB5w7ZudGVtbGVyaSB0YXJpaCBib3l1bmNhIGt1bGxhbsSxbG3EscWfdMSxci4=,Base64
V2UgbmVlZCB0byBzZWN1cmUgdGhlIHBlcmltZXRlciBpbW1lZGlhdGVseS4gQXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2UgaXMgaW50ZWxsaWdlbmNlIGRlbW9uc3RyYXRlZCBieSBtYWNoaW5lcy4=,Base64
84dc2a2730262d272e24623a82f42d35272e2d273128623720302a2962212e3b362f21226129362d2e222f86f22d2f87f087dc3586f2336c6384dc2a2730262d272e24623a82f42d35272e2d273128623720302a2962212e3b362f21226129362d2e222f86f22d2f87f087dc3586f2336c,XOR
QnVnw7xuIGhhdmEgw6dvayBnw7x6ZWwgdmUgZ8O8bmXFn2xpLiBUaGUgdHJlYXN1cmUgaXMgYnVyaWVkIHVuZGVyIHRoZSBvbGQgb2FrIHRyZWUu,Base64
TmV0d29yayBzZWN1cml0eSBpbnZvbHZlcyBtYW55IGxheWVycyBvZiBwcm90ZWN0aW9uLiBTaWJlciBnw7x2ZW5saWssIGJpbGdpc2F5YXIgc2lzdGVtbGVyaW5pIGtvcnVtYSBzYW5hdMSxZMSxci4=,Base64
3b0b03080d151f0b1b081103581009580d121d590a0a18190c10191d591b161d5a0b0d0f1c005a171f5a0c1c19101713090c1f0b591c170b5a0b1c190d0b1f581a1515140f161019190d1317175458380e0c181913591b0c591e190e14581614580d121d590c1d0b131e005a1e101f141d54,XOR
003637202128612337612622362c632e2c63352a26613426332b2538622528272f256c6309233a20366f61202a322b282d2737246221282c2e242963262b2128262a336c6305272d26272724622734302e2029632881e4282c63292331242926356226352f262d2b30282c2a3b6c,XOR
GYKGSPDMVMYPBNPSRTHFMOWKTHPVEWXLJYJNKIKOGRBIESJPXFVWIWGNVWPCKCKKVGAVFIYLVUBEPJTHZVQGMCI,Vigenere
MVWZXMQVYZLWSWRRINBEADMAOELNWREHWYJROGFXMOEIQPSPCIAEVCMSKWYLSGYDMMXLYIERLMQSOJOXCLMLWIIQMZSHGBHCXKCNIBEVKKOGSRFKVCUIROXKOPGCMLSD,Vigenere
CQNZDRLTKAXFWOXGSDVYBXENACQNUJIHMXPLAHYCXPAJYQHRBCQNYAJLCRLNJWMBCDMHXOCNLQWRZDNBOXABNLDANLXVVDWRLJCRXW,Caesar
79534a50461f11505a425b585d5747541251585c5e545913565b5158565a431c1375575d56575754125744405e50591358f194585c13595341545956451256455f565d5b40585c5a4b1c13655a561143465851581150415e455d11545c491259445f4342125c47574111465b54125f50484a11565c561c,XOR
YVLTXRVFQTVITVRWXDGIGBXHGIGBFSFZYIXZANCCXSFKMHXQWICIASRVPXFSVVPXFAGUGPMSNP,Vigenere
AIRIIHXSWIGYVIXLITIVMQIXIVMQQIHMEXIPCAIRIIHXSWIGYVIXLITIVMQIXIVMQQIHMEXIPC,Caesar
xZ5pZnJlbGVtZSB5w7ZudGVtbGVyaSB0YXJpaCBib3l1bmNhIGt1bGxhbsSxbG3EscWfdMSxci4gVGhlIHRyZWFzdXJlIGlzIGJ1cmllZCB1bmRlciB0aGUgb2xkIG9hayB0cmVlLg==,Base64
AEBEPKLBHNWYWRGHPDIEIQGJVEWLXUEEZINSFZIVSMCVVEOCRQECBLROWLSNKEZIR,Vigenere
HPYPPOEZDPNFCPESPAPCTXPEPCTXXPOTLEPWJSLJLEMTDTVWPEPMTYXPVRTMTOTCOPYRPOPOFCXLVTTYSLCPVPEPEXPWTDTYTK,Caesar
152a266133362821286120312e352d61242c396229342f3332622c37273161362b24622f20383a61262c266c6302303a31362c263022312a3a612b3061362b246233332320352b202462222f2663323636253b632e2463352720292c2a3037263262252e306332272034302661212c2c2f362f2b2020362a2e2c6d,XOR
EXVXQYFPFHIBQBYFKJBHDFYFAFOABKDBABAROJXHFFKEXOBHBQBQJBIFPFKFWZOVMQLDOXMEVFPQEBMOXZQFZBXKAPQRAVLCQBZEKFNRBPCLOPBZROBZLJJRKFZXQFLK,Caesar
1c207925203c2f652d24652a2e262c3920793f2d3c6b353c392c342e313c39653026283c2f2c383f2035326b791c207925203c2f652d24652a2e262c3920793f2d3c6b353c392c342e313c39653026283c2f2c383f2035326b,XOR
QXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2UgaXMgaW50ZWxsaWdlbmNlIGRlbW9uc3RyYXRlZCBieSBtYWNoaW5lcy4gxZ5pZnJlbGVtZSB5w7ZudGVtbGVyaSB0YXJpaCBib3l1bmNhIGt1bGxhbsSxbG3EscWfdMSxci4=,Base64
QXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2UgaXMgaW50ZWxsaWdlbmNlIGRlbW9uc3RyYXRlZCBieSBtYWNoaW5lcy4gTmV0d29yayBzZWN1cml0eSBpbnZvbHZlcyBtYW55IGxheWVycyBvZiBwcm90ZWN0aW9uLg==,Base64
V2UgbmVlZCB0byBzZWN1cmUgdGhlIHBlcmltZXRlciBpbW1lZGlhdGVseS4gQXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2UgaXMgaW50ZWxsaWdlbmNlIGRlbW9uc3RyYXRlZCBieSBtYWNoaW5lcy4=,Base64
Q3J5cHRvZ3JhcGh5IGlzIHRoZSBwcmFjdGljZSBhbmQgc3R1ZHkgb2YgdGVjaG5pcXVlcyBmb3Igc2VjdXJlIGNvbW11bmljYXRpb24uIEhheWF0LCBiaXNpa2xldGUgYmlubWVrIGdpYmlkaXIuIERlbmdlZGUgZHVybWFrIGnDp2luIGhhcmVrZXQgZXRtZWxpc2luaXou,Base64
ORAWBBGCCPKBKEEBHRGCQGXEWZPTTZQKMUWOVRZJZBJRTPHYIQCAOSIECAB,Vigenere
09233a20366f61202a322b282d2737246221282c2e242963262b2128262a336c6305272d26272724622734302e2029632881e4282c63292331242926356226352f262d2b30282c2a3b6c6300303728242a222b222d622a2f36262d2e2a26272d222763283163282c37242e2f2825262f21266126262c2d2d32363120362625622138622e20212b282c26326c,XOR
VOAHBUPUIEATYFPYAHYFCNBYKOCWEVLIQHZIRDOGJMIPYLNBYFUTSXIA,Caesar
SJPOPCWIWXXCWPCBMRKVGRFMIYLMEIEPJKRGVQGDMPCMZOVEFILVMILMJQMQKCYBWGCXCWPCBMLSOMBYKKWYXERSHGB,Vigenere
Q3J5cHRvZ3JhcGh5IGlzIHRoZSBwcmFjdGljZSBhbmQgc3R1ZHkgb2YgdGVjaG5pcXVlcyBmb3Igc2VjdXJlIGNvbW11bmljYXRpb24uIEF0dGFjayBhdCBkYXduIG9uIHRoZSB2ZXJpZnkgZmllbGQu,Base64
XIRGSPUWCMYPSXWSRTYPTOWKKRWVEWOVQYJNBSROGRSSLGILOIBDSQOGSBIRRINOVGWIROVGWQCNMYDIJI,Vigenere
SGF5YXQsIGJpc2lrbGV0ZSBiaW5tZWsgZ2liaWRpci4gRGVuZ2VkZSBkdXJtYWsgacOnaW4gaGFyZWtldCBldG1lbGlzaW5pei4gU2liZXIgZ8O8dmVubGlrLCBiaWxnaXNheWFyIHNpc3RlbWxlcmluaSBrb3J1bWEgc2FuYXTEsWTEsXIu,Base64
84dc2a2730262d272e24623a82f42d35272e2d273128623720302a2962212e3b362f21226129362d2e222f86f22d2f87f087dc3586f2336c6384dc2a2730262d272e24623a82f42d35272e2d273128623720302a2962212e3b362f21226129362d2e222f86f22d2f87f087dc3586f2336c,XOR
DLCAYGMOZBSUXJMHNSWTQYZCBXFOPYJCBYKABCNDSEBENRCGCXFOTPKGRSGCKRBCXSNCMPXCMLLSUSOWDYVQOGSBIAYQKERGMERSSL,Vigenere
HEQDKDLDXMSDLKDQHSZQHGANXTMBZJTKKZMHKLHSHQSGDPTHBJAQNVMENWITLORNUDQSGDKZYXCNF,Caesar
XLIXVIEWYVIMWFYVMIHYRHIVXLISPHSEOXVIILECEXFMWMOPIXIFMRQIOKMFMHMVHIRKIHIHYVQEOMMRLEVIOIXIXQIPMWMRMD,Caesar
NGEGZHOYOQRKZKHOTSKQMOHOJOXJKTMKJKJAXSGQOOTNGXKQKZKZSKROYOTOFGXZOLOIOGROTZKRROMKTIKOYOTZKRROMKTIKJKSUTYZXGZKJHESGINOTKY,Caesar
IQZIYEXMCATPUPRRTBEEISJSLUYKEXUWTEAIWUMGICBLRTCMEFUCMMFBFZMRDFVHRREPIBLOWEXTCMI,Vigenere
VGhlIHF1aWNrIGJyb3duIGZveCBqdW1wcyBvdmVyIHRoZSBsYXp5IGRvZy4gQ3J5cHRvZ3JhcGh5IGlzIHRoZSBwcmFjdGljZSBhbmQgc3R1ZHkgb2YgdGVjaG5pcXVlcyBmb3Igc2VjdXJlIGNvbW11bmljYXRpb24u,Base64
3a0c1dbbc51458111b0e185abbde1513591dbbc5001d155a0e1c5a1fbac6161cbfe7151356592e101c5a090c131b125a1a0b150f175a1e160258130f15090958160c1d0b5a0c111f58151b02005a1c161d56,XOR
0f2737362d312a6230242136332b3738622a2f342c2d342632622e202c3a612e2238273132622c276233332d37242137282d2d6f621729276335302620313633276328316323373128272761372d25273161362b24622c2d26632e232861363124276d,XOR
bde7131e0b1f141c171d5903bbcf140c1c17141c0811590e190b1310591817000f161a1b58120f14151b16bdcb1414bec9bce50cbdcb0a575a2c111f58080f111a11581b08170e14581f150059100d140a0b59150e1c08580d121d5916190303581d151f57,XOR
VGhlIHF1aWNrIGJyb3duIGZveCBqdW1wcyBvdmVyIHRoZSBsYXp5IGRvZy4gQ3J5cHRvZ3JhcGh5IGlzIHRoZSBwcmFjdGljZSBhbmQgc3R1ZHkgb2YgdGVjaG5pcXVlcyBmb3Igc2VjdXJlIGNvbW11bmljYXRpb24u,Base64
152a266133362821286120312e352d61242c396229342f3332622c37273161362b24622f20383a61262c266c63003637202128612337612622362c632e2c63352a26613426332b2538622528272f256c,XOR
AUPKXZBMZUPCMYSSRKXEXSFGWCINILZYUOHSKGRUMGGBRBIIXNVDQCECJSRGSWIITRHAIKTFRCJDLCILRMXGVYRXHQMOUISDMYTRRGJOVCJMKMVMYPXWFWQSGCTKXGHH,Vigenere
Q3J5cHRvZ3JhcGh5IGlzIHRoZSBwcmFjdGljZSBhbmQgc3R1ZHkgb2YgdGVjaG5pcXVlcyBmb3Igc2VjdXJlIGNvbW11bmljYXRpb24uIFRoZSB0cmVhc3VyZSBpcyBidXJpZWQgdW5kZXIgdGhlIG9sZCBvYWsgdHJlZS4=,Base64
301803190d56581b130b1011141c0e1d59181117171d125a1f1018111d130a575a3c1c141f1c1e1d591e0d0b1719125a11badd11175a1018081d121f0c591f0c141f14100911171302575a2f1c5a161c1f1c590e1759091d1a0f0a1c5a0c111f58091f0a10171d0d1f0a591315141f1c101b0c1c160157,XOR
TWFjaGluZSBsZWFybmluZyBtb2RlbHMgcmVxdWlyZSBhIGxvdCBvZiBkYXRhLiBNYWNoaW5lIGxlYXJuaW5nIG1vZGVscyByZXF1aXJlIGEgbG90IG9mIGRhdGEu,Base64
Q3J5cHRvZ3JhcGh5IGlzIHRoZSBwcmFjdGljZSBhbmQgc3R1ZHkgb2YgdGVjaG5pcXVlcyBmb3Igc2VjdXJlIGNvbW11bmljYXRpb24uIEF0dGFjayBhdCBkYXduIG9uIHRoZSB2ZXJpZnkgZmllbGQu,Base64
VGhlIHF1aWNrIGJyb3duIGZveCBqdW1wcyBvdmVyIHRoZSBsYXp5IGRvZy4gQ3J5cHRvZ3JhcGh5IGlzIHRoZSBwcmFjdGljZSBhbmQgc3R1ZHkgb2YgdGVjaG5pcXVlcyBmb3Igc2VjdXJlIGNvbW11bmljYXRpb24u,Base64
AQJMZODMVTQSJQTOQAIGIZAQABMUTMZQVQSWZCUIAIVIBQLQZAQJMZODMVTQSJQTOQAIGIZAQABMUTMZQVQSWZCUIAIVIBQLQZ,Caesar
NCJAEZRCLASJTDESPACLNETNPLYODEFOJZQEPNSYTBFPDQZCDPNFCPNZXXFYTNLETZYLEELNVLEOLHYZYESPGPCTQJQTPWO,Caesar
LZWLJWSKMJWAKTMJAWVMFVWJLZWGDVGSCLJWWZSQSLTAKACDWLWTAFEWCYATAVAJVWFYWVWVMJESCAAFZSJWCWLWLEWDAKAFAR,Caesar
LYEXLYFEMUKXOPTOKLOPGDLCDVCKWSBIGCFSBMCNYLNIPDLCYPBYEIDVCO,Vigenere
PGIXUXRXPAXCITAAXVTCRTXHXCITAAXVTCRTSTBDCHIGPITSQNBPRWXCTHXUGTATBTNCITBATGXIPGXWQDNJCRPZJAAPCXABXIXG,Caesar
003637202128612337612622362c632e2c63352a26613426332b2538622528272f256c63122b212430632681ff37272d2d2b286d6221282e2428312238233161312a3236262c2e26332b2d2862282e30362c236332232d203687f02687f0306d,XOR
VGhlIHF1aWNrIGJyb3duIGZveCBqdW1wcyBvdmVyIHRoZSBsYXp5IGRvZy4gQ3J5cHRvZ3JhcGh5IGlzIHRoZSBwcmFjdGljZSBhbmQgc3R1ZHkgb2YgdGVjaG5pcXVlcyBmb3Igc2VjdXJlIGNvbW11bmljYXRpb24u,Base64
CMZOVEFILVMILMJQMQKCYBWGCXCWPCBMLSOMBYKKWYXERSHGBACXICNXMCIAEVCDLCZIPSQCDIPSQKOHGKXCVC,Vigenere
KMDVVZNIPCMDTMNXMLSCCIWBKXGDPXJMPZOHJYORWTFEVZHBJAGEIXVXQJIVMVGKLXHITZQXLITZQFWHKRXXDC,Vigenere
MBVAYGVESBSUGZFHNSFJJYZCKNYOPYSSUYKYKNZPMABUCSRRXFCSKCGWVSWGGNVVPGZYEMIBXGFXWRKUKOHZRGRMLGGYJ,Vigenere
ULADVYRZLJBYPAFPUCVSCLZTHUFSHFLYZVMWYVALJAPVUAOLAYLHZBYLPZIBYPLKBUKLYAOLVSKVHRAYLL,Caesar
XODGYBUCOMEBSDISXFYVFOCWKXIVKIOBCYPZBYDOMDSYXMBIZDYQBKZRISCDROZBKMDSMOKXNCDENIYPDOMRXSAEOCPYBCOMEBOMYWWEXSMKDSYX,Caesar
SGF5YXQsIGJpc2lrbGV0ZSBiaW5tZWsgZ2liaWRpci4gRGVuZ2VkZSBkdXJtYWsgacOnaW4gaGFyZWtldCBldG1lbGlzaW5pei4gV2UgbmVlZCB0byBzZWN1cmUgdGhlIHBlcmltZXRlciBpbW1lZGlhdGVseS4=,Base64
SAJAAZPKOAYQNAPDALANEIAPANEIIAZEWPAHUSAJAAZPKOAYQNAPDALANEIAPANEIIAZEWPAHU,Caesar
MBVDVCTMLBIGLVLBMCWOENIPMBVYPBHUBDVCXCWBIJXGVIRRXGCOVGMUISLZHSLXGYDOCVELBFDSXGK,Vigenere
QXR0YWNrIGF0IGRhd24gb24gdGhlIHZlcmlmeSBmaWVsZC4gTmV0d29yayBzZWN1cml0eSBpbnZvbHZlcyBtYW55IGxheWVycyBvZiBwcm90ZWN0aW9uLg==,Base64
CVVCEMCVFCYPQPVJGXGTKHAHKGNFVJGSWKEMDTQYPHQZLWORUQXGTVJGNCBAFQI,Caesar
09233a20366f61202a322b282d2737246221282c2e242963262b2128262a336c6305272d26272724622734302e2029632881e4282c63292331242926356226352f262d2b30282c2a3b6c631627632f27262562372e6230242136332763352a26613226332b2e24362633622a2c2f26252b2235272f386c,XOR
09303e88f9376b2d383d247988e23620653e88f9232e29793d20792c86e525209cd4293065650d2320793a3030282e792937363c2b792d2a216b2f2c26352a6b2a2f2e37793f2d3c6b2938313c792f2a3e65,XOR
JRWPMPKJGZESVVZXGAGBEXUWFZPSXBIVBTWITDYZBWPYYGXYGKCIFSNZQXGWBJGQXFIMCCEWMSGAZWURWPKGKJRTFZGIGCBYQISBTGCEYIBRKI,Vigenere
LLGHYBUODISPFJQONNETUFZXJXJVPTRCFFKTJXKWMVAENZRMWPNZKXFGGZWBFXGCPBYIPTIWWQQEWMJEVVHUQQCTLBFIU,Vigenere
1627632f27262562372e6230242136332763352a26613226332b2e24362633622a2c2f26252b2235272f386c631627632f27262562372e6230242136332763352a26613226332b2e24362633622a2c2f26252b2235272f386c,XOR
xZ5pZnJlbGVtZSB5w7ZudGVtbGVyaSB0YXJpaCBib3l1bmNhIGt1bGxhbsSxbG3EscWfdMSxci4gxZ5pZnJlbGVtZSB5w7ZudGVtbGVyaSB0YXJpaCBib3l1bmNhIGt1bGxhbsSxbG3EscWfdMSxci4=,Base64
1f2d3c6b312b2e242a3e373c6b2c2a6b272c392c3c2f652c25213c39652d23207924293d6b2a3820652d39203c65650d2320793a3030282e792937363c2b792d2a216b2f2c26352a6b2a2f2e37793f2d3c6b2938313c792f2a3e65,XOR
V2UgbmVlZCB0byBzZWN1cmUgdGhlIHBlcmltZXRlciBpbW1lZGlhdGVseS4gV2UgbmVlZCB0byBzZWN1cmUgdGhlIHBlcmltZXRlciBpbW1lZGlhdGVseS4=,Base64
LCETQTNTLWTYEPWWTRPYNPTDTYEPWWTRPYNPOPXZYDECLEPOMJXLNSTYPDYPEHZCVDPNFCTEJTYGZWGPDXLYJWLJPCDZQACZEPNETZY,Caesar
1627632f27262562372e6230242136332763352a26613226332b2e24362633622a2c2f26252b2235272f386c6384dc2a2730262d272e24623a82f42d35272e2d273128623720302a2962212e3b362f21226129362d2e222f86f22d2f87f087dc3586f2336c,XOR
2b10181d0b5a1fbac60e1c1414101154591811151d110a1b011808580a130b0d1f15151f0a1014115911170b0f15185a0b1814190dbec91dbec90b5458371f0c0e150a125a0b1c190d0b130c005a11170c17150c1d0a5a15181401591619001f0a0a5a171f5a080b150c1c190c10151657,XOR
